592,ELMA MARMELATI,APPLE MARMALADE,APFEL MARMELADE,ЯБЛОЧНОЕ ВАРЕНЬЕ,0,0,0,0
593,ERİK KOMPOSTO,PLUM COMPOTE,PFLAUMEKOMPOTT,СЛИВОВЫЙ КОМПОТ,0,0,0,0
594,ESMER ŞEKER,BROWN SUGAR,BRAUN ZUCKER,КОРИЧНЕВЫЙ САХАР,0,0,0,0
595,FISTIKLI SALAM,SALAMI WITH PISTACHIO,KALBS SALAMI MIT PISTAZIE,КОЛБАСА С ФИСТАШКАМИ ,0,0,0,0
596,TAHİN HELVA,TURKISH DESSERT WITH SESAME OIL ,SÜß MIT SESAMÖL ,ХАЛВА ТАХИННАЯ,0,0,0,0
597,HİNDİ JAMBON,TURKEY HAM, SCHINKEN,ВЕТЧИНА ИЗ ИНДЕЙКИ,0,0,0,0
598,HİNDİ SALAM,TURKEY SALAMI,TRUTHAHN SALAMI,КОЛБАСА ИЗ ИНДЕЙКИ,0,0,0,0
599,KAŞARLI DOMATES,TOMATO WITH CHEESE,TOMATEN MIT KASE,ПОМИДОР С СЫРОМ,0,0,0,0
600,KAYISI KOMPOSTO,APRICOT COMPOTE,APRIKOSENKOMPOTT,АБРИКОСОВЫЙ КОМПОТ,0,0,0,0
601,KAYISI REÇELİ,APRICOT JAM,APRIKOSE MARMELADE,АБРИКОСОВОЕ ВАРЕНЬЕ,0,0,0,0
602,KAYSILI YOĞURT,YOGURT WITH APRICOT,JOGHURT MIT APRIKOSE,ЙОГУРТ С АБРИКОСОМ,0,0,0,0
603,KREP,CREPE,KREPP,БЛИНЫ,0,0,0,0
604,KURU ERİK    ,SUNDRIED PLUM,PFLAUME,СЛИВА,0,0,0,0
605,KURU İNCİR,SUNDRIED FIG,FEIGE,ИНЖИР,0,0,0,0
606,KURU ÜZÜM,RAISIN,ROSINE,ИЗЮМ,0,0,0,0
607,LEBLEBİ,ROASTED CHICKPEAS,GERÖSTETE KICHERERBSEN,НУТ,0,0,0,0
608,MACAR SALAM,BEEF SALAMI,KALBS SALAMI,КОЛБАСА ПО ВЕНГЕРСКИ,0,0,0,0
609,MARGARİN,MARGARINE,MARGARINE,МАРГАРИН,0,0,0,0
610,MARUL,LETTUCE,GARTENSALAT,ЛАТУК,0,0,0,0
611,MAYDANOZ,PARSLEY,PETERSILIE,ПЕТРУШКА,0,0,0,0
612,MENEMEN,EGGS WITH TOMATO & PEPPER,EI MIT TOMATE & PFEFFER,ЯЙЦА С ПОМИДОРОМ И ПЕРЦЕМ ,0,0,0,0
613,MEYVA KÖŞESİ,FRUIT CORNER,OBSTECKE,ФРУКТЫ,0,0,0,0
614,MEYVA SALATASI,FRUIT SALAD,OBSTSALAT,ФРУКТОВЫЙ САЛАТ,0,0,0,0
615,MEYVALI YOĞURT,YOGURT WITH FRUIT,JOGHURT MIT OBST,ФРУКТОВЫЙ ЙОГУРТ,0,0,0,0
616,MEYVE BÜFESİ,FRUIT BUFFET,OBST BÜFET,ФРУКТЫ,0,0,0,0
617,MISIR GEVREĞİ,CORNFLAKES,CORNFLAKES,КУКУРУЗНЫЕ ХЛОПЬЯ,0,0,0,0
618,MÜSLİ,MUESLI,MÜSLI,МЮСЛИ,0,0,0,0
619,OMLET,OMELETTE,OMELETT,ОМЛЕТ,0,0,0,0
620,PAKET BAL,HONEY,HONIG,МЁД,0,0,0,0
621,KREP,PANCAKE,PFANKUCHEN,БЛИНЫ,0,0,0,0
622,PATATES SOTE,SAUTEED POTATO,SAUTIERTE KARTOFFEL,КАРТОФЕЛЬНОЕ РАГУ,0,0,0,0
623,PEKMEZ,MOLASSES,MELASSE,СИРОП ИЗ ЩЕЛКОВИЦЫ-ПЕКМЕЗ,0,0,0,0
624,PETEK BAL,HONEY,HONIG,МЁД В СОТАХ,0,0,0,0
625,PORTAKAL REÇELİ,ORANGE JAM,APFELSINE MARMELADE,АПЕЛСИНОВОЕ ВАРЁНЬЕ,0,0,0,0
626,ROKA,ROCKET,WASSERROCKET,РУККОЛА,0,0,0,0
627,SADE YOĞURT,YOGURT,JOGHURT,ЙОГУРТ,0,0,0,0
628,SAHANDA YUMURTA,FRIED EGGS,SPIEGLE EI,ЯИЧНИЦА,0,0,0,0
629,SALATALIK,CUCUMBER,GURKE,ОГУРЕЦ,0,0,0,0
630,SEMİZOTU,PURSLANE,PORTULAK,ПОРТУЛАК,0,0,0,0
631,SİYAH ZEYTİN,BLACK OLIVE,SCHWARZ OLIVE,ЧЕРНЫЕ МАСЛИНЫ,0,0,0,0
632,SOSİS,SAUSAGE,WURST,СОСИСКИ,0,0,0,0
633,SOSİSLİ YUMURTA,EGGS WITH SAUSAGE,EI MIT WURST,ЯЙЦА С СОСИСКАМИ,0,0,0,0
634,SÜTLÜ YULAF,OATS WITH MILK,HAFER MIT MILCH,ОВСЯНКА С МОЛОКОМ,0,0,0,0
635,SÜTLÜ YULAF,OATS WITH MILK,HAFER MIT MILCH,ОВСЯНКА С МОЛОКОМ,0,0,0,0
636,SÜTLÜ YUMURTA,SCRAMBLED EGGS,SCREAMBLEI,ЯИЧНИЦА С МОЛОКОМ,0,0,0,0
637,ŞEFTALİ KOMPOSTO,PEACH COMPOTE,PFIRSICHKOMPOTT,ПЕРСИКОВЫЙ КОМПОТ,0,0,0,0
638,ŞEKER,SUGAR,ZUCKER,CAXAP,0,0,0,0
639,TAHİN,SESAME OIL  ,SESAMÖL  ,КУНЖУТНОЕ МАСЛО,0,0,0,0
640,TAHİN-PEKMEZ,SESAME OIL & MOLASSES,SESAMÖL-MELASSE,КУНЖУТНОЕ МАСЛО С ПЕКМЕЗОМ,0,0,0,0
641,TAVUK JAMBON,CHICKEN HAM,HÄHNCHEN SCHINKEN,ВЕТЧИНА ИЗ КУРИЦЫ,0,0,0,0
642,TAZE SOĞAN,SPRING ONIONS,GRÜNE ZWIEBEL,ЛУК,0,0,0,0
643,TEREYAĞ,BUTTER,BUTTER,СЛИВОЧНОЕ МАСЛО,0,0,0,0
644,ÜZÜM KOMPOSTO,RAISIN COMPOTE,ROSINEKOMPOTT,КОМПОТ ИЗ ИЗЮМА,0,0,0,0
645,VİŞNE KOMPOSTO,CHERRY COMPOTE,KIRSCHENKOMPOTT,КОМПОТ ИЗ ВИШНОЙ,0,0,0,0
646,VİŞNE REÇELİ,CHERRY JAM,KIRSCHEN MARMELADE,ВИШНЕВОЕ ВАРЕНЬЕ,0,0,0,0
647,VİŞNELİ YOĞURT,YOGURT WITH CHERRY,JOGHURT MIT KIRSCHEN,ВИШНЯ С ЙОГУРТОМ ,0,0,0,0
648,YEŞİL ZEYTİN,GREEN OLIVE,GRUNE OLIVE,ЗЕЛЕНЫЕ ОЛИВКИ,0,0,0,0
649,YULAF ,OATS,HAFER,ОВСЯНКА,0,0,0,0
650,YULAF,OATS,HAFER,ОВСЯНКА,0,0,0,0
651,GÜL REÇELİ,ROSE JAM,ROSE MARMELADE,РОЗОВОЕ ВАРЕНЬЕ,0,0,0,0
652,DANA JAMBON,BEEF HAM,RINDFLEISCHSCHINKEN,ГОВЯЖЬЯ ВЕТЧИНА,0,0,0,0
653,SALAM,SALAMI,KALBS SALAMI,САЛЯМИ,0,0,0,0
654,BERGAMUT REÇELİ,BERGAMOT JAM,BERGAMOTTE MARMELADE,ВАРЕНЬЕ ИЗ БЕРГАМОТА,0,0,0,0
655,BÖĞÜRTLEN REÇELİ,BLACKBERRY JAM,BROMBEERE MARMELADE,ЕЖЕВИЧНОЕ ВАРЕНЬЕ,0,0,0,0
656,KAYISI MARMELADI,APRICOT MARMALADE,APRİKOSEN MARMELADE,АБРИКОСОВЫЙ МАРМЕЛАД,0,0,0,0
657,ELMA MARMELADI,APPLE MARMALADE,APFEL MARMELADE,ЯБЛОЧНЫЙ МАРМЕЛАД,0,0,0,0
658,KIRIK YEŞİL ZEYTİN,BROKEN OLIVE,GEBROCHEN GRÜNE OLIVEN,ЗЕЛЕНЫЕ ОЛИВКИ,0,0,0,0
659,BAHARATLI ZEYTİN,OLIVE WITH SPICES,GEWÜRZTE OLİVEN,ОЛИВКИ СО СПЕЦИЯМИ,0,0,0,0
660,KALAMATA ZEYTİN,KALAMATA OLIVE,KALAMATA OLIVE,КАЛАМАТСКИЕ ОЛИВКИ,0,0,0,0
661,SOSLU SOSİS,SAUSAGE WITH SAUCE,WÜRSTCHEN MİT SOSSE,СОСИСКИ В СОУСЕ,0,0,0,0
662,DİYET VİŞNE REÇELİ,DIET MORELLO JAM,DIÄT SAUERKİRSCHEN KONFİTÜRE,ДИЕТИЧЕСКОЕ ВИШНЕВОЕ ВАРЕНЬЕ,0,0,0,0
663,DİYET ÇİLEK REÇELİ,DIET STRAWBERRY JAM,DIÄT ERDBEERE MARMELADE,ДИЕТИЧЕСКОЕ КЛУБНИЧНОЕ ВАРЕНЬЕ,0,0,0,0
664,AYVA MARMELATI,QUINCE MARMALADE,QUITTEN MARMELADE,АЙВОВОЕ ВАРЁНЬЕ,0,0,0,0
665,AHUDUDU REÇELİ,RASPBERRY  JAM,HIMBEEREN KONFİTÜRE,МАЛИНОВОЕ ВАРЕНЬЕ,0,0,0,0
666,İNCİR REÇELİ,FIG JAM,PFLAUMEN KONFITÜREN,ВАРЕНЬЕ ИЗ ИНЖИРА,0,0,0,0
667,İNCİR REÇELİ,CITRUS JAM,BITTERE ORANGEN MARMELADE,ЦИТРУСОВОЕ ВАРЕНЬЕ,0,0,0,0
